A,B
"[-0.16234030678555683, 0.18194640654479294, 2.318976201556292, -0.7412684457006641, 0.6997025263963496, 1.1674366567344936, -1.7982810562148992, -1.0166761084774514, -0.9735287064087671, 1.1946181316388869, -1.418911899544895, -0.21978058736539577, -0.31444162278890353, 0.7484789696385554, -0.9616996708004806, 1.3147115671429344, 0.7912243332243558, 0.30214517172408134]",8
"[-0.7796992380495542, -0.42889780199751926, 1.1507428989957504, 0.7223351082455756, 0.47936427892046635, 0.2833966208722997, -0.9287917794089805, 2.3423097535260817, -0.7775786808281138, -0.01685582027968157, -0.5011582140539653, 1.6081927863112693, -0.18436471641257865, -0.5354877340408398, 0.6357995974797372, -0.4068346992096479, -1.197898222841135, -0.05908455242164381]",40
"[-0.003858246524296912, 1.7893726842606374, 2.251536568265706, 0.8183305040403032, -0.51106319122662, -0.5507445656369934, 0.5443549533295393, 0.25754985119079743, -0.19164136013753938, -0.5913342676078815, 1.1536024281769859, -0.3988037806607848, -1.2957352337063468, 1.0628120160811345, 0.7623052229197037, 0.6909780338406891, -1.8700952927369188, 1.8588917039431607]",32
"[1.8192227656813678, 1.1659234660820517, 0.9069015037137518, -0.9418535464079062, -0.5958608393182546, -0.40508015768856726, 0.4544370684306553, -0.13511456383849485, 1.1530149895004465, -0.4960263419728125, -1.1871056187426312, -0.2686983010864449, -1.5674241009179324, 0.5984492422715413, 0.646417094158567, -0.8945132236648844, -0.8398849170167749, -1.084100506221759]",8
"[1.4368235367824644, -2.562873654749602, 0.17496229062263144, -1.253096203447564, -0.818893859646122, 0.4098843815469761, 0.11894743155851309, -1.692376048538415, -0.46907023588433283, 0.07985141514643701, 0.8315337675179174, 0.31144160310041813, 0.018697263131469202, -1.698872956236376, 0.5129373286063263, -1.5489135552428344, -0.01916001914879291, -0.4308498043648574]",28
"[0.6035328742420136, -0.10828956749712099, -1.067332622640334, -0.1879007712841213, 0.052711251159988655, -0.29682736954334205, 0.41249765934929217, 0.7774850945626497, 0.3662711674747227, 0.2419909855580634, -0.25983203690723833, 1.5181387480705433, -0.3899263130085415, -1.3818136764324027, 1.0384527386854838, 0.4521363075886747, -1.159157378694966, -0.135769418221116]",24
"[-0.0018722535218548121, -0.35721159811042147, 0.2805785832319354, 0.27689319289571906, 0.8298527605371806, 0.639018016419051, -0.6110006372783208, 1.1840297774562571, 0.25227582468280124, -0.9498178060961384, -0.5705693344849149, 2.090468257691016, 0.5834172874350374, 0.3441944827384694, -0.46460268622309614, 0.47104048826305717, 0.1815601966800056, 0.009750766788905631]",22
"[-0.11932964487249931, -0.9798047320203882, -1.0736293131321337, -0.20308403795067975, 0.3874049613469428, -0.5285716240348128, 1.0759607999758625, 0.4012955906788802, 0.3562651805367557, -0.555491409359977, 0.09932849551045657, 0.5822686879234411, -0.9339790401019078, 0.2746295487207743, 0.6533884619276243, 2.9602455722846317, 1.9925469714480664, -1.3993259164066973]",0
"[-0.18034796033546263, 0.9589175936959754, -0.0768537749348895, -0.8180013490783623, 0.33560187330635655, -1.7486869386110806, -0.14288385554552044, -0.40540703382934995, -0.2240289076047188, -0.6404936236186543, -1.4218409002023094, -1.2200971247846157, 1.7005991717273328, -0.5216385771654949, 0.07153659587634958, -0.6601352839024276, 1.518014388723248, -3.593473476168297]",40
"[0.3224272904092668, 0.7875198017267471, -0.539841193008616, 0.49620861159053364, 0.6275221849364159, 0.6026898184053232, -0.4901428171557972, 0.6679420419025791, -0.1606680290676137, 0.23658736793532933, -1.0965602401360222, -0.6773084340789907, 0.329904193964587, -0.15377167650726825, -1.3007115739834272, -1.0168710716500469, 0.7911386523888931, -0.43287134193240207]",32
"[1.667729350889483, -1.6663143450986764, 1.9000259489186588, 0.3969707338671824, 0.3396086933296433, -0.2723095536302777, 0.9045597746991645, -0.7131509640380718, 0.11762162378776347, 0.7958831892187861, 1.283427259208694, 1.8540770478269624, 1.5118623408140603, 0.5606133190012857, -0.6255611398927459, -1.3719786817906305, -0.47882934282556244, 0.7264680994021974]",18
"[-0.7435251854560845, 0.34580691110204903, -0.6342839247663774, -0.7301152866586065, -0.7728505298741976, -0.6119474930669284, -0.36040124593893746, 1.493321385088281, -1.021695857617979, -0.030735902915790127, -0.4710265745561239, 0.18576833753328012, 0.32365665584261416, 0.44310550930129106, -2.5160907591777715, -0.8027387455183954, 0.6863624905054875, -0.13947097198474306]",0
"[0.8803250412492779, 1.2992428995966603, 0.5757524352999527, -1.1787830289448031, -0.36731370783152356, 0.41333105296809886, -0.20996331783637612, 0.3883359578238223, -1.0232178007393093, -0.6134481235841722, 0.5571590789396952, 2.324400050647717, 0.06277822947569568, -1.353359542105261, -0.226448402481956, -0.7537969723181561, -0.39312412194197766, -1.163407992423922]",12
"[-0.056723654864161525, -1.2011729624276608, 1.3845162005251526, 1.0498665133051635, 1.1450593082086071, -0.6629353940087094, -0.24401006626143676, 0.17414480365787902, -1.0709222262564415, 1.26085218387675, 0.028002809641966383, -0.9673200579614368, -1.8157764257718882, -0.6579381963060454, 0.017329319917505692, 0.15482250859700014, 0.5880866096934698, 0.7261597573861498]",28
"[-0.291624554603587, 0.031094261560090878, -0.5125994406100522, -0.37498515432423196, 1.63858247767489, 0.28994375313326376, 0.33622159306876476, 1.381131846398489, 0.2902349044934858, -1.736949244871487, 0.8732896609188221, 0.5732310706097549, 1.1712267002784538, 1.2357682232753555, -0.6429787071499524, -0.9613124367658508, 0.5373865014445464, -1.7800502940546505]",24
"[-1.5703738669727167, 0.6722052936426686, -1.1042637024204716, 0.3818886793692085, -0.3544572880525863, 0.3201044321755897, 0.7604514247853709, 0.27866188307593287, -0.1834602861381363, -0.7872457991184525, -2.629623593272023, -0.9580412350220868, 0.39251184163189357, -1.8009747014590172, -0.9597100921515445, -1.6916548104801374, -0.24728788976657332, 2.4406678830585844]",18
"[-0.6623445295000171, -0.08492623958678014, -1.3538398951296158, -0.36238701371321547, -0.05513004145162874, 1.659663666956138, -0.3193064821484316, -1.3721127994995543, 0.6776255703929634, -0.14783764489155954, 0.2902944141778317, 1.1703254091306783, 0.2406311428872768, 1.0189432584085265, -0.049183177091806626, 0.06551187696523024, -0.8587795063057808, -0.4659087055208071]",20
"[-1.8961945490505752, -0.14781473572704687, -0.3097352132370473, -0.3183609514905694, -1.813699158676885, -0.2635874611275961, 0.609266524869858, -0.7674767139351157, -0.677049313341559, -0.41375728668442363, 0.4619918003929064, -1.24104723107163, 0.09811579344408541, 0.02247251275076035, -0.34195491994329813, -0.8283827667128038, 0.7668224165318255, -1.1478981991110166]",24
"[-0.874402697269052, 1.4581257056194339, 0.15526553186898423, -0.2341042652022042, 0.10223673360977506, 0.13933983956949259, 0.10945677080233296, -0.4967181600496608, 0.1318226973190072, 0.5736334250027917, -2.033125411605572, -0.7261070643824293, 0.55570144557078, -0.2653402124862496, -0.05830806115650513, -0.757288410805695, -0.666232572378237, 0.43798362959292797]",32
"[-0.2275469255267986, -0.06173918711094143, -0.31423928092709996, -0.022995710346649108, -0.6004116620652834, 0.002657753061980497, 0.34919066613705546, -0.9054542347535685, 0.7092515438814773, 0.8564085482147008, -1.1068218167861292, -2.29301207425506, -0.4428947680806389, -0.7047598511235323, -0.9392922268081734, -1.4670774775186906, -1.2447804255654364, -0.14750747287005725]",16
"[-1.0657627346682943, -1.0078690235170626, -0.7488932358588261, 0.761715314751971, 1.034109968046194, 0.4538586365993906, -1.4692758606548317, 0.27752250881959495, 0.5944468196759959, -1.805138176280275, -0.8515680153678278, 0.21405821783310458, 2.709746525122576, -0.596729050329336, 1.2012323460247973, 1.0214468409223036, 0.9341687367738699, 0.7315800819954292]",0
"[0.14025220580071618, -1.2442105250736033, -0.5267488845176852, 0.6625130770643077, -1.2930419769058294, -1.3525916622822571, 2.0666148374552002, 0.4634897943947961, -1.1561256470158707, 1.0911314486070882, -0.17299874632128076, -0.9770835110278433, 1.5858992332787936, 0.2644241826079379, -1.5525128730458617, 1.50952438073327, -1.6392966529456205, 0.4053171238105071]",24
"[-0.05043641317721002, 0.03934327585835071, -1.320905997802128, 3.3830127733126862, -0.5353593630196053, -0.6336876582646476, 0.8156311429397437, 1.250137106529846, -0.5361204446245568, 0.24582757619310439, 0.3106316562724809, 0.05940432530757531, -2.4446042015496547, 0.9399478712195799, 0.9058363111947949, 1.4192004193226084, 0.6090020999550321, -0.16279059583065017]",34
"[0.7098988524523967, -0.7882996145054618, -0.2633200998766139, 0.2022527539675268, 0.13184966014336924, -0.12828162859269587, 1.1266209891884778, 0.9362279201931295, -0.8701199804685438, -0.23371253340318612, -0.09641820795166503, 0.08070704462607538, -0.0288533866955313, 0.7146320098528571, -1.7010523635256998, 0.12362399980420005, -0.21750191446101402, -0.02863158905722515]",20
"[0.6774556232223016, -3.261035660186933, -1.0956675318616083, 0.8476529601615186, 1.2114194794025512, -0.759449807118774, 0.46590469407390583, 0.3874871512131741, -0.4466633870889943, 0.8464549205349005, -1.0549173466862396, 1.3978526040540098, -2.4570971279554703, 0.9867742870631565, 1.163344578461487, -0.1824068442176099, 0.8579718752430511, 2.4586605403537725]",22
"[-1.398794279517158, 0.10009113309248385, 0.02204439366511553, -1.4838727395208515, -0.2064725998741308, 0.486465277794494, 0.6369992773160622, -0.36603606151332013, 1.0810557211985181, -0.4113756240820342, -0.22170486776790735, 1.5558436566839404, 0.21937724273817547, 2.058759413784586, 0.3683058496303308, -1.1640016945516836, 1.5831512742346694, 0.08808045049560703]",0
"[0.9488557349916723, -0.13125962836633762, 1.8551372849893057, 0.5997315112544702, 0.7686251910241595, -0.7015498039560932, -0.7147905142089034, 0.4056677272553019, -2.403560307358524, 0.31903518197991226, -0.8067954754384152, 1.5288517259494077, 2.5507943573399676, -0.019316197889146364, 0.285134151226182, -0.3678145107734886, -0.002677481842277452, -0.5256826709888748]",20
"[-0.027242275965872823, 0.17363914204858838, -0.727052787156622, -1.186302102830258, -2.10903976454329, -0.978698091535546, -0.5909812031330962, -0.7230375936057335, 0.6643951989893381, -1.2172478964385158, -1.3960335810628441, 0.7633832083086449, 0.4163061204101516, 0.23080934412777415, 0.7237902613241183, 0.8440481142644344, 0.05309736264366422, -0.9742722735891138]",20
"[1.497146414776496, 0.05929673383976086, 1.0667951134607396, 1.4512561651253568, -0.22220911364318205, 0.7844276038516702, -0.21462527101655995, -1.5409555503104142, -0.5467611954995268, -0.054718998320828896, 1.6434886716134756, -0.047126620317770054, -0.6833826907073415, 0.015529783113208217, 0.33481100618238846, -1.1960799025523452, 0.0826231588909059, -1.8000938600554668]",0
"[-1.0235021522839207, 1.4805396879170472, -0.847513452512053, -0.4947823478518184, 1.2815236300183992, 0.38661479449976477, 0.2533236315185182, -0.2089031176237255, -0.847980603318427, 0.5686171529856918, -0.35037645006655305, 1.0292483546917217, -0.08639770317805913, 0.7696954560125506, 0.3652101770777665, -1.085044430629007, 2.352764436326006, 0.40384184054123284]",20
"[1.3808385336786715, 1.738187253993583, -1.070835438704482, -1.5083354425529807, -1.0715780011275777, -0.4129484885444582, -0.5220056706511684, -0.930937278698205, 0.006628054358670217, -0.887785463726515, -0.38857862272443394, 0.4123121377622133, -0.1223980850545791, 0.23676476364226637, 0.7603767065540277, -0.0007400044624240737, 0.9531726372289308, 1.1056553210305176]",30
"[-0.9301781803228308, 0.6794494867857707, 1.512819406607826, -1.4385506336746166, -0.5011110513229878, 0.003717386565024826, -0.0468963404862914, -0.9798509141721855, 0.1610662071668309, -0.08682515072797102, 0.8654570327831034, -0.029579299913233718, 0.6256728366473211, 0.7379846755453706, -0.19176077538361025, 0.5701298049376474, 1.0107681795945391, -0.7063873227594044]",32
"[-0.34694835135681085, -0.3201641713552558, 0.2646198891418071, 0.0734905260210385, -0.12193289598007288, 0.1467374216494615, -1.0750482573309312, -0.7221149115383755, 1.1330624964951774, 1.272814713964405, -1.0647560475327962, 2.3282498263609437, 0.8473560300015845, -0.1820788011819598, 0.5154589573149269, -1.1959036950000086, -0.18455147431199992, 0.32937482245007355]",18
"[-0.7977266350294723, 0.763739676918943, -0.9184876741295462, 0.1048711499903009, 0.40416459981412417, 0.15213559971792395, 1.5799158591221705, -0.36439465285774164, 0.5636478095247736, -0.04653898802606518, 1.606132746277682, -0.15686025810401766, 0.7019189689171015, -1.3686825629158206, 0.6480939088606863, -1.2231585936701177, 0.8111083492457747, 3.048285769819138]",4
"[-0.8617682107963287, -1.5927340613790806, 0.10961208821378707, 0.07556010709559617, 0.6110967656862125, 0.1842355264050558, 1.016260125627882, -0.7907111245765507, -1.6262112116547334, -0.1164242022322374, 0.6790502280814381, 1.6734286925409556, 0.45103493192627014, -0.29148106139220165, 0.7653065731892275, -0.8063089534052263, -0.3686813839354066, 0.7849549305851234]",0
"[-0.9776658545371631, 2.0323840795414205, -0.3866451265895591, 0.11628681087925288, 0.20462942985812896, -0.9825042325940586, 1.445714398077645, -1.435214727198088, -1.12478223967592, -0.6932747545399813, 0.3181292203280478, -0.36083666609684506, -1.5560203034571432, -0.24780063769940167, -1.7522360985021617, -0.47285897373675967, 0.5463718193001609, 0.1453292644873464]",12
"[0.25616234773131513, -0.35017659051984606, -0.9076710370326412, 0.42949240646824693, -0.4150530787126419, 0.721716309966951, -1.628130281587859, 0.24621017535200332, 0.5056371324196202, -0.6319274340445239, -0.5689259761267044, -0.07519766008575923, -0.44185029655153407, 0.4068580203328806, -1.9519123534532687, -1.1119777887704978, 0.44091881441737546, 0.7927982963164112]",28
"[1.1486552523835722, -0.20594978473116005, -1.995282477774619, -1.0312722494061117, -0.9882466996884667, -0.06478311328593107, -0.6955671224540395, -0.11477697851015453, -0.052257521129787377, 1.2136240309188389, 1.2553392194840827, 0.7543440182026901, -0.8185170701773296, 1.0254593385039603, 0.1231938883792731, 1.3759780754438469, -0.2876076760353549, 0.4313520191080295]",34
"[-0.4100425675169644, 1.436003901231746, 1.5356294550018266, 0.27354979163772164, -1.8253174670348749, 0.8024257685403954, -0.2944280389467923, -0.699917006717576, -0.8467996462674804, 0.34984451869729866, -0.00388285144673305, -0.11566203099984114, 0.8186019670810966, 0.3547820338539657, -0.4295814253538007, 1.2900719198604627, -1.2567472056582913, 1.261570273996414]",12
"[-0.7246638420700127, -0.20809196658824297, -0.9062803167244108, -0.08278094616587306, -0.594634617434385, -0.7633114739660858, -0.21162638104233591, -0.5372163559704131, 1.3423312483311403, -1.8480636853368189, -1.237239641507537, 0.17005359024473843, 0.4800777292914301, 0.33867223068659624, -0.09153256657619498, -0.5593760397813617, 1.4790036931450017, 0.5518509753478664]",0
"[0.448472200944288, 1.1047272672779103, 1.3818085632976, -0.8061892200252673, -1.0937836883159853, 0.4313138622110725, -0.4837903702618479, -1.8091915868717237, -1.3017392627579887, -1.312718862652845, 0.4965816345122359, -0.38350414385168263, 1.449314956815494, -0.8058490812390787, 1.474174348586305, 0.8808168294208644, 1.627038346362694, -1.1950521393871087]",0
"[-0.37706267651553144, -0.6264077104457871, 0.5543583670442427, -0.37888300594311913, -0.2817332694437258, -0.32547074653974745, 1.954758854798341, -0.41340370098705076, 0.4087465958124334, -0.18561852096251832, 0.73189794934218, -0.6420384701465393, -1.570193188702073, -0.33900929251613626, 0.7105833242882141, 0.33636877281706384, -0.7242011765387191, -2.0445485925849844]",14
"[-0.02671550593061696, 0.6774173305980915, -0.3836595158707159, -1.802309447042153, 2.0891154851768556, -0.5555826423245009, 0.7089601042340758, 1.5068978045755677, 0.26935500871228607, 0.37473137622690134, 0.1417084634814565, 1.0177946941206817, 0.8448489010444774, 0.4022398448036122, 0.8359454294846618, 1.698496308053899, -0.7425041751540671, -0.9230097388133776]",18
"[1.0467814372535467, 0.17177410700023713, -0.8932682917276668, -0.02124497328542842, 0.22785987419912235, 1.1188877118664218, -0.17834912506477074, 0.8095743861101955, -1.8538455261405256, 0.2108785652041075, 0.8507490233136119, -0.5185067856289812, -0.23479165724861364, -0.5760828608037634, 0.3814200299256131, -1.6243364446130835, 1.17083486541282, -0.8123732900588502]",20
"[1.7196234087659612, 0.6448674152254863, 0.2969115994193897, 0.8599673868208334, -0.7283857778720418, 1.0037798499062047, -0.40295207395430527, 0.4250247036698029, -0.07836242176843695, -0.8874710288069231, -0.6557263067766582, 0.965638661060525, 0.27935011164544077, 1.141289011940861, 0.08142030186369173, 1.5705019424311535, 0.49977951755045785, 0.39722071816368554]",0
"[-0.38555233926404336, 0.9603772812494632, 1.415380722569378, -0.11455464388783132, -0.6556365223768502, -1.1093170719119523, 0.07525301817032723, -0.055436695557280743, -0.3948655246059494, 0.6685122667329206, 1.1050629884663918, -0.32158135581976915, -0.9712903868965553, 0.20532353294555622, -1.3875708854818594, 1.122900064800318, 1.8773901122949728, 0.4919838470208285]",20
"[1.672329727982844, -0.08127843186542977, 0.16154719049065117, 0.6322223087472703, 1.0454565593202854, -1.4848807391494327, 0.22891328587091844, -0.00842185007854002, 2.017791533019157, -0.45590970570031736, -0.28060538793051354, 0.6633540427405765, -0.60493179697901, 0.10442464870269738, -0.9154308750378654, 0.14423786270990294, -0.5660448659159344, 1.0906464572443901]",0
"[-0.2566397204315898, -0.19762581765144452, 0.11211813752342281, 1.3086194003469385, -0.4199464838833391, -0.393690601964341, -0.9924051669977111, -0.021472961676924508, 0.9345081709669796, -0.3345007973899928, 1.4758639574655472, -0.37268513090969935, -0.3655336223081128, -1.372653914033899, -0.5293961605896867, 1.9630537395453809, -1.1856573979909908, 0.002413381926070358]",42
"[0.036524071187254356, -0.5915928498636881, -1.2289735781542188, -1.3412898412631549, 0.30167069781295847, -0.4799592888281633, 0.5310656760749789, 0.43407654892706804, 0.17332409577829444, 0.45315291090196774, -1.643309508874995, 0.5635503959401433, 0.36556400818702617, 1.4431098175538866, 1.0849696061803407, -0.8215118066715436, -0.6341587535803015, 1.78658474506965]",20
"[1.536273739432119, -0.7593285472848905, 2.152905199848897, -0.5683063871184572, 0.6906807656949806, -0.5448338456848612, 0.11947893507888714, -0.9029614446230944, 0.3645703134083674, -0.06562650680554653, -0.09139233123665214, -0.6202363636500071, 1.8435301859423188, -2.3301036028289808, 0.3260848988745579, -1.1522819389800434, 0.6859194139376708, -0.4135948967733895]",14
"[-0.7928993561885874, -0.24179294380727906, 1.4342572383385988, -2.5981193140016727, -0.5359776784205496, 0.7978876553895843, 1.4031290984468878, 1.460386108813685, -0.9891213437044393, -0.19210834660453188, 0.05109157026793286, 0.49260935179139365, -1.6311403938094204, 0.11196390577550665, 0.7535001953228604, 0.48976777957567996, 0.1645782443518008, 0.8340773171124982]",24
"[-1.4098908350502555, 0.9264714928916291, -0.657224163137009, -0.7201239934008686, -0.5352497805854937, 0.8370973397157093, 0.6094669061203682, 0.8191299229964886, -1.5458159372115643, -1.6144652655566494, -0.6015718244073966, -0.9359238289047949, -0.6534735527432078, -0.07746395291475092, 0.4318619397637007, -0.8841042358805066, -0.5669060643864772, -0.397996536487161]",16
"[-0.38557627421797447, -0.4107128731396052, -0.7556646043408298, 1.0790145341309942, -2.3226843151727428, -0.24663731371474856, 0.05087291186953125, -0.6432601261763653, 0.7909042812894801, -0.16508598632447422, 0.28287535794894325, -0.46247051953335955, 0.9908028476594999, -2.5047834529689985, 0.9698231189342343, -1.0615506224537021, 1.4770301080315547, 0.5760688581616235]",22
"[0.774933137986558, 0.393310937099472, -1.1107505540701823, -1.0996618001276524, -0.7900709772816222, -0.2473242320841551, -0.5919320147635778, -0.9435473641706192, -1.7563799095911534, 0.5774306777191763, 1.1574959469976918, 0.6867890683839878, -1.1889463565525793, 1.2213291136043785, -0.3325752091154638, -0.87569870132266, 0.49818860807103527, -1.00434921258151]",0
"[-2.6464575575900753, -1.0638703443445832, -0.874178856767723, -1.8462992836755405, -0.27615226375796603, -0.13109241448550582, 1.948272084347092, 0.15707648864428092, 0.07033419146923665, 0.3813306038352954, 1.016680068697622, 0.7194496337954334, -1.1373747291879412, -0.4903249208632309, 1.1599829127969468, -0.5963166368319018, 0.15005452654123358, 0.24968000135109064]",12
"[-0.045659996698343454, 0.9442540246221232, 0.3828545325985818, -0.7673287882208435, 0.4246670629670062, 0.7837749785161955, 2.084193296660268, 1.5043962203737236, -0.33092372883566834, -1.9858484184576157, -1.8411314001073675, -1.9121800476155002, 1.3596233612390578, 0.6508601694836463, -0.013272240550582778, -0.9019737799967436, -0.1509193495060593, 0.3642292643766686]",26
"[0.6507610883680384, -0.511364535716416, -0.5222979089204046, -0.49143729361009403, 0.8826636544296729, -0.6422459303473146, -0.9386665209798661, -0.1459735897948237, 0.6517562992420152, -0.9237810321965993, 0.8464928708584435, -0.6279857968189864, 0.1527289189955978, 0.16204484919459375, 0.5576498928435284, -1.446684533724637, -1.1489993598513157, -0.309001584987707]",30
"[-0.6701385603993544, 0.22945459313345132, -1.571689345532583, -0.9713796289205615, 0.3396733914041405, -1.3082353570877467, 0.14567997082473183, -1.236901277367098, -0.08591565208131138, 0.6688612865905229, -0.14964477306442878, -0.5344656778932305, -1.4066102422021018, 1.0923852926265516, 1.6794876289787095, -1.1261710445379958, -1.2332469084954047, 1.6807958801520073]",0
"[1.0433796434485916, 1.100683172102873, 0.8745146665615379, -0.6448612147355958, -1.4037120228809743, -0.7788377460961707, -0.559516170865313, 0.5986328161045728, -1.2331321443922254, -0.9005648570857523, -0.9027854276287848, 0.38642577335618744, 0.8716589617365876, -0.7517960007146289, -0.06207957399480562, -0.01596154451640442, -0.5210965235127594, -0.9146837078262747]",16
"[-1.1143541484295114, -0.4765102245380176, 0.5380655753495374, -1.5896363321263152, -0.7229510078967123, 1.333157091904793, 0.6119725710771456, -0.45472086438205384, 0.050024034845015906, -0.09245684835187808, -0.17294960876240473, 0.24562431198683798, 0.30983382000531823, 0.5495395042670341, 0.8131741938555368, -0.44695969351606096, -0.19170456381736117, 0.7995049305942455]",0
"[-0.7523173528972081, -1.3296335977207578, 1.2277025466957054, -0.7217846121189366, 0.5644637407913277, -1.370363183909653, -1.0697413541728074, 0.9651381217978716, 0.42240704632922704, 1.1359154179245212, -0.1830099229252286, -0.6933663407458105, 0.3716619356030832, -0.21557972789908053, 0.762200161465954, 0.1133634981782109, 1.0962346824132634, 0.6637506749816499]",0
"[0.9140343868186274, 0.7699210033916161, -0.8909260780562548, -0.18822297663015236, -0.005191828606602896, 0.861707086581546, -1.3627953053748307, 0.24677633827767223, 0.14468407502217648, 0.17342708204677768, -1.1274463520885365, 0.08956513497297375, 0.9600939121620167, -0.6458957886718707, 0.7919205390525581, 0.33227207720893864, 0.03618286435296782, -0.5577348280185309]",16
"[1.7690174486651504, -0.16590426244805054, 0.9841944057796934, -0.03955908602788524, -0.024575283449875928, -2.0362101342956493, -0.4448958400116077, 0.7946013256713274, -0.5282995065115479, -1.5339947436276962, -0.187484229496635, 1.593240424637884, 0.7099334201445371, -0.1600185000847167, 0.4598484703662515, -1.59390701182264, -0.0786217651656856, -0.059370558796711284]",10
"[1.5639862745156619, -1.1871508037011997, 1.0870090072785927, -0.5547293499729269, -1.0596611323797491, -0.4064308275650918, -0.47993215063150396, 0.4972232050716316, -1.4372178434108354, -0.4639496456888251, -2.9158761652239367, 0.32272738996644146, -1.3211756404361876, 3.589958702387506, 0.4938661335365722, 0.9368333881028018, -1.7930227224289512, 1.653029019857045]",16
"[0.8568956886264127, -1.537104849697771, 0.25759973322336194, -0.18418460418359908, -0.8919786647326108, 0.842079116195687, -0.5413233757040902, 1.4668569607001354, 0.5714538233118343, -0.32175982823643967, -1.1060926873705421, -1.6907000940046681, -2.2468184682847685, 0.25351592120413236, 0.619317135547531, 2.979485809063181, -1.0099737744226007, 1.6452420815443065]",18
"[-0.253634939050923, -1.5167340768818938, -0.44983693042920064, -0.8013021811584665, 0.394078122761903, -0.004651237098257898, -0.613098659829099, 0.7631308326833969, -0.3669026048486688, -0.16737727983393316, 1.4566699239796557, 1.2852466288856517, 0.46911962213969377, 1.9348042983967653, 2.792860723285117, -1.0415394219413299, 0.37919369296868655, 0.7117110996893514]",18
