A,B
"[0.00017378217643559572, 0.0024016594490406285, 0.008257283868665005, -0.0204119223415831, -0.14037341975054693, 0.5965843545598514, 0.016146635258116056, -0.012173870437556713, 0.0022925352055002727, 0.19629469411879932, -0.07399275156116515, 0.5965843514307734, 0.010908434123881608, -0.027997923057955166, 0.0179574409894132, -0.16136473604728924, 0.20701002044702355, 0.5965843433066079]",64
"[0.00017376995796895516, 0.002401670500639804, 0.008257283848108577, -0.02041192353229966, -0.1403734387308812, 0.5965843440146986, 0.01614662967662096, -0.012173867640854999, 0.0022925340111536936, 0.19629470493845086, -0.07399274789419068, 0.5965843438987574, 0.010908430592756325, -0.027997916593646224, 0.017957443599529846, -0.16136473905330895, 0.20701001842640213, 0.5965843480933112]",40
"[0.00017376241691600828, 0.0024016584813800097, 0.008257284266438725, -0.02041193069161605, -0.14037343491267398, 0.5965843333706083, 0.016146641063037138, -0.012173879867158566, 0.0022925396638578677, 0.1962946915220776, -0.07399275933494785, 0.5965843332509312, 0.010908435267744727, -0.027997930583391124, 0.017957450130526565, -0.1613647454050117, 0.2070100085361932, 0.5965843455003811]",122
"[0.00017377506150968744, 0.002401655984266991, 0.008257287178302913, -0.020411924743725277, -0.1403734173414574, 0.5965843492228056, 0.016146628229795332, -0.012173873717151694, 0.0022925364777027363, 0.19629469859966345, -0.07399275056141928, 0.596584348888376, 0.010908437675193769, -0.027997918724761994, 0.017957456773385626, -0.1613647427480838, 0.20701002446841438, 0.5965843413558005]",72
"[0.00017376959450699246, 0.0024016628876291266, 0.008257287749982078, -0.02041192489486354, -0.1403734267180187, 0.596584339181248, 0.016146638086470995, -0.01217385540543016, 0.0022925390621156448, 0.196294690710798, -0.07399276114864221, 0.5965843305802905, 0.0109084380350015, -0.027997923676727272, 0.017957448454074678, -0.1613647422345927, 0.20701001716335143, 0.5965843430951305]",40
"[0.00017376769357662096, 0.0024016646413473424, 0.008257274819866984, -0.02041192460437167, -0.14037341624800337, 0.5965843425510176, 0.01614663431008184, -0.012173866709089856, 0.002292534739496091, 0.19629469963968094, -0.07399274804561483, 0.5965843459471366, 0.010908433644928446, -0.02799794291203058, 0.017957455129544823, -0.1613647495007694, 0.2070100081731884, 0.596584340758905]",48
"[0.00017377843738742243, 0.002401651769454943, 0.008257291380900715, -0.020411920575261863, -0.1403734338414295, 0.59658433750374, 0.01614663088717652, -0.012173877322641989, 0.002292532757557654, 0.19629469178851264, -0.07399274753703292, 0.59658434835472, 0.010908440206406763, -0.02799792132919433, 0.01795744983507921, -0.16136474023052172, 0.20701001248319145, 0.5965843461642601]",72
"[0.00017377452078557026, 0.0024016727329580568, 0.008257274367047011, -0.020411920039454495, -0.14037342992576746, 0.5965843450413988, 0.016146639257264478, -0.012173877222146766, 0.002292528671027041, 0.1962946892435167, -0.07399275954365198, 0.5965843360222952, 0.01090842793152765, -0.02799792840403061, 0.017957457231409523, -0.16136474490006697, 0.20701002035468058, 0.5965843394846239]",80
"[0.00017376700848112272, 0.002401670739191383, 0.00825728681413395, -0.020411914690460786, -0.14037342793158789, 0.5965843364107637, 0.01614663104381093, -0.01217386490150225, 0.0022925395419911817, 0.19629469506376523, -0.0739927441525541, 0.5965843448874443, 0.01090843697335052, -0.027997931712387472, 0.01795744316343958, -0.16136473192739725, 0.20701001341388847, 0.5965843442795229]",40
"[0.00017377751423075857, 0.0024016560601719935, 0.00825727876464461, -0.020411925326982938, -0.140373428362721, 0.5965843469829606, 0.016146622629868747, -0.012173870662992987, 0.0022925517221282577, 0.19629469962087054, -0.07399275078022234, 0.5965843452795062, 0.010908426950150004, -0.027997924480446183, 0.017957457756311926, -0.16136474264102654, 0.20701001942123237, 0.596584344385958]",48
"[0.0001737814738340661, 0.0024016621427491993, 0.008257271567195195, -0.020411921431893573, -0.14037342655691284, 0.5965843507884702, 0.01614664191052326, -0.012173870791024327, 0.002292545100324913, 0.1962946902352385, -0.07399275478767085, 0.5965843427552022, 0.010908442451902423, -0.02799792990695758, 0.017957442383144635, -0.16136475479416834, 0.20701001134698407, 0.5965843459198334]",48
"[0.00017377246906642209, 0.002401660152368971, 0.008257287677249292, -0.020411931971124026, -0.14037342890982024, 0.5965843419925445, 0.016146638948041817, -0.012173866086901337, 0.0022925338211672846, 0.1962946850421123, -0.07399275731756923, 0.5965843379701835, 0.010908429153241337, -0.027997917680055544, 0.01795745177287239, -0.16136473938911464, 0.20701001832520913, 0.5965843322330648]",64
"[0.00017375782416996198, 0.0024016628229571674, 0.008257269587947603, -0.02041192503601434, -0.14037341865246614, 0.596584337986532, 0.016146641314297827, -0.012173872196528856, 0.002292540768220878, 0.19629470204226895, -0.07399275414600485, 0.5965843371385726, 0.010908428787844269, -0.027997928810166946, 0.017957447634461048, -0.16136474344801705, 0.2070100168665296, 0.596584332948892]",48
"[0.0001737648005795105, 0.0024016684620033276, 0.00825728797914872, -0.020411924633569525, -0.14037341401058345, 0.5965843420786007, 0.01614663365529158, -0.01217387488294738, 0.0022925331962567164, 0.19629470240279337, -0.0739927516168184, 0.5965843473253355, 0.010908429491237534, -0.027997928528697695, 0.017957452328243195, -0.16136473921016778, 0.20701001674313158, 0.5965843515915756]",68
"[0.00017377551861048204, 0.002401658364751416, 0.008257274584234425, -0.020411930141640472, -0.14037342426770996, 0.5965843493558486, 0.01614663216710038, -0.012173887574985264, 0.0022925310318569325, 0.19629470070202812, -0.07399274984306704, 0.5965843435929332, 0.01090842776306611, -0.027997922612066687, 0.017957443888083582, -0.16136474740366386, 0.20701001014793272, 0.5965843385444151]",48
"[0.00017377000604899855, 0.00240166341476773, 0.008257285926800832, -0.02041193231476355, -0.1403734266251221, 0.5965843501667764, 0.01614663748951335, -0.012173874217167315, 0.002292543413123648, 0.19629468628223617, -0.07399275000023241, 0.596584340973404, 0.010908434559985495, -0.027997925178572965, 0.01795746457620868, -0.16136473966417886, 0.20701001434385408, 0.596584341945879]",112
"[0.00017377153651265307, 0.0024016520613522846, 0.008257274537440832, -0.020411924293357312, -0.1403734392891068, 0.5965843386016221, 0.016146639496252217, -0.012173863078880366, 0.002292535449166374, 0.19629469347958664, -0.07399276393944264, 0.5965843424851287, 0.010908431396609566, -0.027997930523429578, 0.017957454261518672, -0.16136474357789757, 0.20701002141580455, 0.5965843458718777]",80
"[0.00017376677784736316, 0.0024016636622741666, 0.008257275142441685, -0.02041192814735721, -0.14037342965235863, 0.5965843527227311, 0.0161466369581577, -0.012173876139334934, 0.0022925406802685087, 0.19629470213301944, -0.07399274847795169, 0.5965843388614159, 0.0109084348468274, -0.02799793894372909, 0.017957454731891254, -0.16136474991644872, 0.20701000446305184, 0.5965843366795587]",80
"[0.0001737722749651339, 0.002401664864040616, 0.008257274942380073, -0.02041192361492625, -0.14037341704192863, 0.5965843411251119, 0.016146634513386098, -0.012173875578211153, 0.002292529270643363, 0.19629469243639128, -0.07399276068244179, 0.5965843333585936, 0.010908424939365677, -0.027997927730085758, 0.017957446216851955, -0.16136473497873952, 0.20701000640281064, 0.5965843423129966]",48
"[0.00017376267508878475, 0.0024016661992571084, 0.008257274059819193, -0.0204119262267224, -0.14037343475200822, 0.5965843413625904, 0.016146647412687964, -0.012173864817158828, 0.002292544894487331, 0.1962946917947716, -0.07399275864286349, 0.5965843409008074, 0.01090842687913495, -0.02799792368724634, 0.017957449749871027, -0.16136474329445735, 0.20701000907871056, 0.5965843471685294]",80
"[0.0001737667652794614, 0.0024016560728008377, 0.008257279725358018, -0.020411925344108565, -0.14037342750382117, 0.5965843375057387, 0.016146635856776535, -0.012173864926824839, 0.002292543386750628, 0.1962946933948392, -0.07399274679669217, 0.5965843523238099, 0.010908432857844477, -0.02799794367834565, 0.017957445999516194, -0.16136474376865906, 0.20701001049358878, 0.5965843471779209]",80
"[0.0001737773235991892, 0.002401670968027567, 0.008257283519764305, -0.02041191675040452, -0.140373418233237, 0.5965843468273716, 0.016146641916673417, -0.012173874261855783, 0.0022925385356130363, 0.19629469306069122, -0.07399275033196104, 0.5965843480554899, 0.010908426416804113, -0.027997931608840246, 0.01795744025443333, -0.1613647473552653, 0.20701000638293993, 0.5965843387615855]",64
"[0.00017376566455309882, 0.0024016751605745647, 0.008257280036805233, -0.0204119246656506, -0.14037342151040277, 0.5965843452318552, 0.016146625971154373, -0.012173865253234753, 0.0022925413973517205, 0.1962946965911413, -0.07399275501220513, 0.5965843427639512, 0.010908427525187689, -0.027997923210440857, 0.01795745494422911, -0.1613647348213571, 0.20701001000092203, 0.5965843384086932]",72
"[0.00017377006932585084, 0.00240166161757961, 0.008257287209780514, -0.020411914047209715, -0.14037343660751575, 0.5965843512231522, 0.01614663830828768, -0.012173878489900342, 0.0022925428834408676, 0.1962947016256048, -0.07399275452390486, 0.596584338960799, 0.010908428634010937, -0.02799792770918787, 0.017957442354840435, -0.16136473564435275, 0.2070100136502089, 0.5965843481252069]",64
"[0.00017377738262513162, 0.0024016669062679285, 0.008257280849429808, -0.02041192869857959, -0.1403734303405035, 0.5965843449014282, 0.016146637590480475, -0.012173877858102158, 0.0022925490261701586, 0.19629469171941075, -0.07399275690970103, 0.5965843366027339, 0.01090842925750409, -0.027997924781168054, 0.017957452283682496, -0.16136475377391019, 0.2070100023607834, 0.5965843381979963]",126
"[0.000173769857456417, 0.0024016656835955893, 0.008257285095125662, -0.020411928306011084, -0.14037343121019094, 0.5965843489746063, 0.016146636657304328, -0.012173876364408703, 0.0022925289247247337, 0.19629469124495616, -0.07399275939567575, 0.5965843557246903, 0.010908426458599352, -0.027997923957429987, 0.017957447934376744, -0.16136474996414543, 0.20701001354003096, 0.5965843405840907]",64
"[0.00017377184987011195, 0.002401666287984085, 0.00825727387318728, -0.02041192119447546, -0.1403734364438597, 0.596584339277509, 0.016146628758176493, -0.012173866716323591, 0.0022925485716050915, 0.19629469131019442, -0.07399275800280569, 0.5965843368230831, 0.010908434483898997, -0.027997921270407955, 0.017957443128916433, -0.16136474528523537, 0.20701002300083274, 0.596584351485073]",32
"[0.00017376370827000356, 0.002401670189134342, 0.008257283400346625, -0.02041192528357223, -0.14037343087698897, 0.5965843489493703, 0.016146634966905396, -0.01217386781500159, 0.002292549154239253, 0.19629469925534326, -0.07399275041937305, 0.5965843360255846, 0.010908429881375338, -0.02799793041438623, 0.017957437255970314, -0.16136475020390187, 0.2070100141161519, 0.5965843362097341]",40
"[0.0001737724293880338, 0.002401650107012116, 0.008257288047859416, -0.020411926173923255, -0.14037343459233054, 0.5965843373147515, 0.016146638351827634, -0.012173874043777101, 0.0022925338056048123, 0.1962946911001389, -0.07399275114228196, 0.5965843358394443, 0.01090843766815359, -0.027997929784435396, 0.017957437469866857, -0.16136474909148274, 0.2070100094391554, 0.59658433484586]",64
"[0.00017377303171258317, 0.002401652219823806, 0.008257275158033128, -0.020411917557529597, -0.14037342464684566, 0.5965843459746518, 0.016146635292253617, -0.012173868285161923, 0.002292540397718359, 0.19629468999415658, -0.0739927477248977, 0.5965843435415404, 0.010908430258367656, -0.027997926085089078, 0.017957431418771014, -0.1613647360622088, 0.20701001174504038, 0.5965843440857248]",48
"[0.00017377351139074413, 0.0024016552836656573, 0.008257287403542441, -0.020411917872122924, -0.14037341711917323, 0.5965843454416881, 0.0161466375668391, -0.012173859480937558, 0.0022925450768230852, 0.19629468880220327, -0.0739927492157143, 0.5965843366981823, 0.010908430431118643, -0.027997931538200977, 0.017957443539468834, -0.16136474273198473, 0.20701001911998418, 0.5965843406483905]",64
"[0.00017378199394825776, 0.0024016620867520046, 0.008257287668939805, -0.020411929925743384, -0.14037343095844199, 0.5965843377182359, 0.0161466355556809, -0.012173864863452618, 0.0022925310675538293, 0.19629470799818494, -0.07399274239866106, 0.5965843458846464, 0.01090843600956098, -0.027997924816858068, 0.017957445594360542, -0.16136474531188263, 0.2070100099338121, 0.5965843419410509]",40
"[0.00017377634372890875, 0.002401646553570762, 0.008257276434209457, -0.02041192192807384, -0.14037342823399154, 0.5965843419583781, 0.016146628730912847, -0.012173872164504442, 0.0022925352431240843, 0.1962947049957467, -0.07399274274680677, 0.596584339403796, 0.010908432424582616, -0.027997921502768506, 0.0179574474861198, -0.16136474351260904, 0.20701002336624164, 0.5965843369612506]",32
"[0.00017377346135066744, 0.002401666566830042, 0.0082572827434818, -0.020411928910410722, -0.14037343181539697, 0.5965843458705445, 0.016146637012847773, -0.012173864567633372, 0.002292528146552201, 0.19629468359438834, -0.07399275223999488, 0.5965843454921318, 0.010908430712285852, -0.027997922179915508, 0.017957455118403992, -0.1613647374021169, 0.20701001597142982, 0.5965843501386798]",114
"[0.00017377041585742433, 0.0024016505888978935, 0.008257272704265453, -0.02041192739364314, -0.14037342536796002, 0.5965843369129267, 0.01614664045519395, -0.012173879245097408, 0.0022925369215985774, 0.19629470056766146, -0.07399274084452963, 0.5965843402478762, 0.010908439992952016, -0.02799792640818764, 0.017957454078503104, -0.16136473976570576, 0.20701000661448365, 0.5965843382253021]",80
"[0.0001737674929724658, 0.0024016685283802944, 0.008257284485227159, -0.02041192168049157, -0.1403734327106608, 0.5965843494280892, 0.016146625344366772, -0.012173881248060063, 0.0022925441396205166, 0.19629468770903263, -0.07399276015326471, 0.5965843382139333, 0.010908433868626576, -0.02799792446488103, 0.017957446339201204, -0.16136473665290257, 0.20701001511641573, 0.5965843386077009]",40
"[0.00017377200719657012, 0.0024016497406953094, 0.008257281881843818, -0.020411932132070272, -0.1403734268244386, 0.5965843413709088, 0.016146629114885312, -0.012173873803153667, 0.0022925445611901847, 0.19629470114750194, -0.07399275914875114, 0.5965843450778882, 0.010908443723614578, -0.027997931371751814, 0.017957454179323776, -0.16136474585538782, 0.2070100041273912, 0.5965843426836154]",80
"[0.00017377761915842057, 0.0024016634351081974, 0.008257278218449318, -0.02041191543208307, -0.14037343256538667, 0.5965843384188261, 0.016146627500864767, -0.012173868575925974, 0.0022925349329551655, 0.19629468912513212, -0.07399275443285938, 0.59658433889683, 0.010908443383734508, -0.027997932254474063, 0.017957458293746606, -0.16136475344430637, 0.2070100111624029, 0.5965843358034092]",48
"[0.00017376355497811675, 0.0024016545157040108, 0.008257273540712347, -0.020411925145012628, -0.1403734230692952, 0.5965843413461673, 0.016146636132047722, -0.012173875838756074, 0.0022925415608930385, 0.19629469006926864, -0.07399275816403195, 0.5965843411267959, 0.010908437639349003, -0.02799793065753825, 0.017957437961363794, -0.16136474454067157, 0.2070100118112445, 0.5965843276413314]",48
"[0.00017377841010113909, 0.0024016691830620793, 0.00825728271472116, -0.020411925321195488, -0.1403734296018056, 0.5965843376187054, 0.016146634210293644, -0.012173865973717793, 0.002292547567898019, 0.19629469729403018, -0.0739927503858325, 0.5965843424673015, 0.01090842011254595, -0.027997932401812635, 0.017957454582156612, -0.16136474078079033, 0.2070100133270223, 0.5965843517174763]",72
"[0.0001737760573675421, 0.0024016672915027288, 0.008257272818148535, -0.020411918473415787, -0.14037343029529123, 0.5965843460084486, 0.01614663302302435, -0.012173875807996594, 0.0022925406688321954, 0.1962946955355495, -0.07399276210462921, 0.5965843475168837, 0.010908440955526235, -0.027997932089490776, 0.01795743921408393, -0.1613647547891947, 0.20701000855072849, 0.5965843368904948]",32
"[0.00017376277457007108, 0.002401653113605003, 0.008257288335049368, -0.0204119314790893, -0.14037343790845763, 0.596584342192399, 0.016146644688253477, -0.012173870350858292, 0.0022925392165977832, 0.19629469066628477, -0.07399274822795424, 0.5965843414995363, 0.010908435669103071, -0.02799792606997259, 0.017957452664556957, -0.16136474113292895, 0.20701001532237556, 0.5965843478959022]",114
"[0.0001737638801124594, 0.0024016644278607403, 0.008257295771143884, -0.020411916177752697, -0.14037342587122492, 0.5965843358062319, 0.01614664187850291, -0.01217386882865688, 0.0022925365455430087, 0.19629469724835688, -0.07399275503280767, 0.5965843403987238, 0.010908437086777913, -0.027997928992342998, 0.01795745392997265, -0.1613647460137801, 0.207010012485408, 0.5965843502329103]",104
"[0.0001737747734190111, 0.002401656137633848, 0.00825728318511933, -0.020411918999916713, -0.14037343257199225, 0.5965843326239468, 0.016146636102357465, -0.012173863779512083, 0.00229252997776475, 0.19629469367346586, -0.0739927598499071, 0.596584344065065, 0.010908424792816125, -0.027997926557834577, 0.017957442954846768, -0.1613647508846589, 0.20701000756706134, 0.5965843357308371]",48
"[0.000173767724478717, 0.0024016721144482053, 0.008257278652950957, -0.020411919383000673, -0.1403734322343758, 0.5965843437573568, 0.016146629917231686, -0.012173885922186998, 0.002292538876803418, 0.1962946980296674, -0.07399275450887616, 0.5965843490615956, 0.010908429688517195, -0.027997932093898014, 0.017957440932599017, -0.16136473882205613, 0.2070100178183206, 0.5965843457695009]",48
"[0.00017377380256925444, 0.0024016702358493833, 0.008257283102121073, -0.020411938800170445, -0.14037342312447657, 0.5965843388981826, 0.016146629649214234, -0.012173867745916181, 0.0022925354621941394, 0.19629470015238293, -0.07399276043827481, 0.5965843361828215, 0.010908436318482468, -0.027997930632622698, 0.017957451578684776, -0.16136474882299917, 0.2070100083760632, 0.5965843362026962]",72
"[0.00017377054583312318, 0.0024016599581685506, 0.008257275449329034, -0.020411926543768576, -0.14037342858912394, 0.5965843439328588, 0.016146628916844957, -0.01217387337014703, 0.002292533551054408, 0.19629471000634088, -0.07399274845218007, 0.59658434641816, 0.010908442765960558, -0.027997936548858696, 0.017957453499284882, -0.1613647359149976, 0.2070100117547436, 0.5965843357689495]",48
"[0.00017377438325142283, 0.0024016673482052057, 0.00825727617221777, -0.020411928166597135, -0.14037343505527455, 0.5965843472809098, 0.01614662473028718, -0.012173868559092136, 0.0022925526257072874, 0.19629468992405008, -0.0739927549783833, 0.5965843407752761, 0.01090842916523173, -0.02799793258226819, 0.017957450034369198, -0.1613647427705005, 0.20701000794299732, 0.5965843392164846]",48
"[0.00017376904567814299, 0.002401659396119436, 0.00825727353055383, -0.02041193343655131, -0.14037343675758635, 0.5965843475509338, 0.01614663140662917, -0.012173864660494653, 0.0022925350026004117, 0.19629469793071275, -0.0739927492129839, 0.5965843431745005, 0.01090844083143728, -0.027997930659811165, 0.01795744860293871, -0.1613647354805922, 0.20701002601711735, 0.596584339432352]",32
"[0.000173780526951924, 0.002401664251361834, 0.008257273959648844, -0.020411912304597504, -0.1403734302391334, 0.5965843480103521, 0.016146632221911726, -0.012173857898944653, 0.0022925334103764483, 0.19629469932150787, -0.07399275392576664, 0.5965843444853969, 0.010908427966331841, -0.027997927736656453, 0.017957443788008527, -0.1613647468304298, 0.20701000775076595, 0.5965843403261449]",32
"[0.00017377156641055084, 0.002401664847236365, 0.00825727274440064, -0.02041192642248149, -0.14037342817092752, 0.5965843473128306, 0.016146639023872277, -0.0121738658731569, 0.0022925312776241186, 0.19629469256255386, -0.07399274544383624, 0.5965843372440857, 0.010908438455947184, -0.02799792205211068, 0.01795744237412491, -0.16136475706243905, 0.2070100235792432, 0.5965843450185275]",48
"[0.0001737764438621681, 0.0024016598390268263, 0.008257283428720001, -0.020411923406424982, -0.14037343118697357, 0.5965843357191202, 0.0161466424998612, -0.012173863394526079, 0.002292540365501109, 0.1962946996074705, -0.07399274515796435, 0.5965843305534607, 0.01090844463966028, -0.027997930469111122, 0.017957441276535053, -0.16136474301451034, 0.20701001428584917, 0.5965843354891948]",66
"[0.00017377708881999895, 0.0024016509520070816, 0.008257282681475728, -0.02041191459752789, -0.14037341796506933, 0.5965843443209033, 0.01614663675295347, -0.012173876768238891, 0.0022925389191419373, 0.19629470144410344, -0.07399275037853519, 0.5965843464321909, 0.010908436945074389, -0.027997934452416242, 0.017957453268724916, -0.16136473476038599, 0.2070100125699444, 0.5965843353214051]",124
"[0.00017377258005768525, 0.0024016509434790405, 0.00825727930220629, -0.02041191768616633, -0.1403734297458343, 0.596584340652896, 0.01614663120046107, -0.01217387281580125, 0.0022925266981372594, 0.1962947039819307, -0.07399274681265214, 0.5965843436468473, 0.010908429405361832, -0.02799793524880251, 0.017957437911492926, -0.16136474080768534, 0.2070100147728945, 0.5965843380670915]",32
"[0.00017376178340081498, 0.0024016546055817965, 0.008257277060961252, -0.020411915060638105, -0.14037342703430505, 0.5965843427366514, 0.016146640499402027, -0.012173871424488504, 0.002292534088490632, 0.1962946924917021, -0.07399274804008893, 0.5965843513015749, 0.010908435147886522, -0.027997925829886597, 0.01795744527253552, -0.16136474746209456, 0.2070100086792711, 0.5965843545070197]",48
"[0.00017377394825028743, 0.0024016600162074858, 0.008257274042926149, -0.020411917957297895, -0.14037343600110966, 0.5965843486018503, 0.016146637499074665, -0.012173882365033225, 0.002292536174316859, 0.19629470473525287, -0.07399275530039319, 0.5965843420216437, 0.010908435961456766, -0.027997929793905762, 0.017957446740159443, -0.16136473246176442, 0.20701002185375603, 0.596584346802151]",48
"[0.00017377926896074679, 0.002401663016306297, 0.008257284572737791, -0.020411913302670184, -0.14037343477828731, 0.5965843538387529, 0.016146630747552446, -0.01217387873760359, 0.002292540166633815, 0.1962946933145184, -0.07399275300782775, 0.5965843425740838, 0.010908442298495576, -0.027997931535245674, 0.01795744063142476, -0.16136474385134805, 0.2070100164285058, 0.5965843386599176]",40
"[0.00017377297831375018, 0.0024016714181420394, 0.008257271170756803, -0.02041191739927189, -0.14037342825411045, 0.5965843456881946, 0.016146633130478497, -0.012173877682639122, 0.0022925322552354425, 0.1962946973189292, -0.07399275107256113, 0.59658433750683, 0.010908418760945263, -0.027997924391661884, 0.01795745360743039, -0.16136474659735064, 0.20701001478579076, 0.5965843469241022]",48
"[0.0001737730485308469, 0.0024016635000210073, 0.008257279954186373, -0.02041191989060543, -0.14037341891999136, 0.5965843406856662, 0.016146632045318868, -0.012173865602502578, 0.0022925436855783694, 0.19629470213317635, -0.07399274809725936, 0.5965843291393439, 0.010908427487806464, -0.02799792307963578, 0.01795744892837723, -0.1613647517269458, 0.20701002541227856, 0.5965843433818674]",48
"[0.0001737643709600105, 0.0024016709238172057, 0.008257279394858274, -0.020411927404974998, -0.14037342416683654, 0.5965843461836673, 0.0161466336410677, -0.012173874629020148, 0.002292542393550374, 0.19629469398678326, -0.0739927625503731, 0.5965843391913416, 0.010908444904374691, -0.027997924680052813, 0.017957448896404157, -0.1613647556193486, 0.20701000841077283, 0.596584340720044]",80
"[0.00017376533898313338, 0.00240166335650595, 0.008257274834675945, -0.020411929186930966, -0.14037341931241515, 0.5965843450871596, 0.01614663841168649, -0.012173876923008406, 0.002292551963993349, 0.1962946997855046, -0.07399274941284519, 0.5965843465006417, 0.010908430151638886, -0.0279979338337887, 0.017957446566236664, -0.1613647412601259, 0.20701001778445396, 0.5965843514259842]",48
"[0.00017378313827676254, 0.0024016565538166543, 0.00825727837732463, -0.020411926152865904, -0.1403734241209697, 0.5965843339820174, 0.016146639401783465, -0.012173874124077283, 0.0022925381984866488, 0.19629469148648784, -0.07399275759479519, 0.5965843400147132, 0.010908431500577149, -0.02799792593237162, 0.01795743711014296, -0.16136473575129054, 0.20701000651349902, 0.5965843344599137]",48
"[0.00017377165818464565, 0.0024016512235673095, 0.00825728173023547, -0.020411926721184574, -0.14037341988110283, 0.5965843365853616, 0.01614663254927986, -0.012173864546578364, 0.0022925379261826157, 0.1962946882143149, -0.07399275806661224, 0.596584350045761, 0.010908434559035583, -0.027997934491657914, 0.017957446679048826, -0.1613647451674318, 0.20701000295780403, 0.5965843377719344]",80
"[0.0001737792477085573, 0.002401670251160675, 0.008257280810375894, -0.020411933221751305, -0.14037342918523663, 0.5965843334689699, 0.016146631616415406, -0.012173869818769384, 0.0022925468152782754, 0.19629469628964305, -0.0739927518532734, 0.5965843420743048, 0.010908445753464334, -0.027997928711312844, 0.017957447697994983, -0.1613647538591526, 0.20701001599641383, 0.5965843394701134]",46
"[0.00017377086901292522, 0.002401659389598258, 0.008257271104495397, -0.020411918293577656, -0.14037343060583554, 0.5965843431261312, 0.016146641079774086, -0.012173877516799264, 0.0022925341930178336, 0.19629471138679636, -0.07399275166752745, 0.5965843316867716, 0.010908433941185573, -0.027997924157758522, 0.017957451330051888, -0.16136474758416222, 0.20701001077895756, 0.5965843356430822]",80
