A,B
"[-1.0978195766784, -2.37874044753458, -1.30057097376007, -1.15983902496463, -1.30277804683828, -0.34652852585601, -0.61587470851725, 0.30868914611957, 0.84678579850114, 1.29956481481407, 1.31480356644518, 0.03639081699247, -0.10807547852938, -0.21863116929221, -0.18794446744836, -0.38561566371337, -0.45752689241268, 0.14230463520603]",16
"[-1.09707777092457, -2.46164333970339, -1.16535144768573, -1.41607138908637, -1.08877904941197, -0.16643282563637, -1.20723658581843, -0.28694058973397, 0.52011191873096, 1.15433995402261, 1.02639716567246, 0.09222851946158, 0.04288843656559, -0.044855115017, -0.17553987737745, -0.21743701210841, -0.26926611733459, 0.05158812289903]",56
"[-1.98011915636617, -1.19743548325871, 0.04458812547758, -1.57668592420876, -0.8155691995734, -0.15509307095745, 0.34894035214251, 0.20489010139198, -0.19815287443033, 0.61175428896166, 0.73204439754997, -0.07333871262788, -0.13420629440154, -0.20419802706702, -0.1027675020823, -0.32708234829224, -0.49091256440242, 0.21629617484265]",38
"[-1.47639952123907, -2.27447849143067, -0.94325766868762, -1.32288522143232, -1.26143627745995, -0.40936325264292, -0.96555681406335, -0.02994091760309, 0.54702834350929, 1.29304129802442, 1.17163056737342, 0.18519740407329, 0.09602090861946, -0.21744061925577, -0.28736504616745, -0.43456433168085, -0.33742249230319, 0.01750354477094]",28
"[-0.4604085467789, -0.36060100255826, 0.24309410598319, -0.73769468019135, 0.5216840721727, 0.52815983618838, -0.82468649572271, 0.23633257024222, 0.88680167956047, 1.25503697732888, 1.24121777466471, 0.08105676213944, -0.13172507234984, -0.14862400648678, -0.06031317324013, -0.32942883966514, -0.48923322996926, 0.22800669269764]",48
"[0.06406531678455, -0.32479009491285, -0.46320306555785, -1.41515374174218, -1.86205845440239, -0.57441839086535, -0.73417968596737, 0.35349912367373, 0.67063772571741, 0.90614704877576, 1.12223263446766, 0.03182642462286, 0.07364404275881, -0.10209695661022, -0.14551308437493, -0.32952727499502, -0.33398642951558, 0.05174762745676]",30
"[-0.42576038635453, -0.09668227296322, 0.01979660566966, -0.84218511202862, -0.41323287963721, -0.33918503152237, -0.37128759043248, -0.19436148097865, -0.30059380179566, -0.27867275255289, -0.41198744847451, 0.01105444835905, -0.06401176242489, 0.13220969423768, 0.26334459186599, -0.27896228601362, -0.44715048742346, 0.2364334646465]",20
"[-1.21295051929019, -2.40602729161686, -1.19030858772401, -1.13861671822563, -1.18771141528044, -0.36715989714865, -1.17039232693591, -0.16097421757188, 0.45520207407593, 1.22821167416649, 1.0849985452892, 0.22199514749705, 0.14099776462198, -0.16376584917198, -0.25353518227329, -0.42154966060762, -0.28338639300354, -0.00456751797044]",34
"[-1.20952690218836, -2.34106989696686, -1.24991692770478, -0.90721576357913, -1.35122551348624, -0.51098500856059, -0.13014829053928, 0.1633692997398, 0.1958766165994, 1.48568325277265, 1.18413869793352, 0.15437274698127, -0.10443846381899, -0.02084361799583, -0.20474449481176, -0.35028360551726, -0.49881491934377, 0.21118595902081]",16
"[-1.01940132185986, -2.55716901149657, -0.91634982550052, -1.65645605797646, -0.97163184362346, -0.19155301088559, -0.77777188975708, 0.32773633804789, 0.66761858561876, 1.31681882747293, 1.25190692497429, 0.27825214077477, -0.1759207633862, -0.15187226523061, -0.26173315243612, -0.33278188647158, -0.52368277974788, 0.22677466281223]",34
"[0.45127756061261, -0.34377454199627, -0.00621392844529, -1.82366656051484, -0.31546406249337, -1.27205227632276, -0.18045918216533, 0.16410561047507, 0.24567788695428, 1.41573174688338, 1.17123397018503, 0.12987398097958, 0.04426433183269, 0.0420000939535, -0.08657004126585, -0.32374876973485, -0.51838470524089, 0.22607006762566]",44
"[-1.38161634577145, -0.10424487049416, 0.06587338316642, -1.62055914002119, -0.34864718561419, -0.16327531743033, -0.82814740133386, 0.46473413153975, 1.21780563539793, 0.96142071509313, 1.02300836825034, 0.04587210349981, -0.11289363479502, -0.02634219194768, -0.09448916620264, 0.19604052849246, -0.16861891607732, 0.03133325518295]",26
"[-0.08931765685438, -0.84627414484629, 1.03464811874735, -0.92577125237815, 0.00642472107495, -1.12271447127816, -1.24182254043913, -0.53603588479448, 0.40456227748092, 1.06479955475656, 0.85214528091594, -0.01881148284414, -0.0291386357206, -0.00041998971867, 0.04394385752761, -0.01941442608728, -0.07438260717572, 0.02213935356275]",40
"[-0.28360933549785, 0.03345106804609, -0.16122293289409, -0.39232579896872, -1.35681013611711, -0.30059269874315, 0.15919931736427, 0.51168716521707, 0.37737316405346, 0.0461366719123, 0.05732432646932, 0.00089189887002, -0.00636321538767, 0.08926161245046, 0.17761744550117, -0.16556371743043, -0.41258560476065, 0.1830322614004]",20
"[-1.61090018333419, -2.6243426094241, -0.31169023165722, -1.19560045797664, -0.54516821571192, -0.15222926234917, -0.83604947105258, 0.30538699867381, 0.85945208574411, 1.19365612387737, 1.2918061137083, 0.01177897619416, -0.13514949699526, -0.11310314273657, -0.21506199152302, -0.25793089680234, -0.44401093510666, 0.11896481981815]",30
"[0.24783848213394, -1.86257746545468, -1.66312618675322, -0.01394520986462, -0.85747527590357, -0.03871140213481, 0.19559123521747, 0.1618164393712, -0.03472460828978, 1.07173524398102, 1.05202623903785, -0.07030098422567, 0.01734919784448, -0.01417075844723, -0.08210774497751, -0.32805377429685, -0.53641631103231, 0.22786499843358]",56
"[-0.35459275058587, -2.42078600510068, -1.39694695078867, -1.56881482298785, -1.13009763611004, -0.04471296531993, -0.45504713241446, 0.64258431079385, 0.73054028479048, 1.15562624885272, 1.16726165615349, 0.25392385125723, -0.0187935154304, 0.08008205019192, -0.2057900753422, -0.22555576465273, -0.32694938991449, 0.22538763179105]",36
"[0.45126885020419, -0.3437903058512, -0.00621973904525, -1.82367438944092, -0.31546520871704, -1.27205507681733, -0.18045053607106, 0.16410039601592, 0.24567056464729, 1.41573117891291, 1.17124472446427, 0.1298683558512, 0.04426198816196, 0.04199649087938, -0.08657105337743, -0.32374969984905, -0.51838841411827, 0.22607099975271]",44
"[-0.22004978716579, -1.3942449349983, -0.84666684307662, -0.99263013778729, -2.04744043063647, -0.84198871088484, -0.80286158327898, 0.25711219287035, 0.85293426465782, 1.2269091423355, 1.28386402540714, 0.01029856552646, -0.11327881552484, -0.15862979079326, 0.00786225491601, -0.34952267146875, -0.50251789008033, 0.22779121707418]",28
"[-0.99056271814599, -2.34745466761274, -1.36214034586289, -1.1930678553925, -1.30657723767734, -0.25020358515565, -0.84843092818988, 0.25985428495405, 0.86665531565411, 1.22117063267186, 1.27260277063569, 0.03421122359577, -0.10083204026271, -0.19377926190434, -0.19900372024071, -0.33508536636551, -0.49954304828456, 0.19682461735048]",32
"[0.57028479433142, -0.22187745233032, -0.03007919278249, -1.55907821366203, -0.24256142335527, -1.18768367427934, -0.86906756274985, 0.2940319410592, 0.89984593708717, 1.1747245084683, 1.25728525007167, 0.02102424308647, -0.04428694568928, 0.00133572610368, -0.07677142347515, -0.33650286707758, -0.53451431568035, 0.2269494025608]",34
"[-1.38160481994476, -0.10427119524809, 0.06586147531305, -1.62056315706893, -0.34865880578521, -0.16328115045157, -0.82814834112627, 0.46473694571506, 1.21780009379474, 0.96141527498572, 1.02301902274537, 0.04586659286304, -0.11289529330819, -0.02634377031281, -0.09448929511959, 0.19604061283669, -0.16861730446216, 0.03133439932257]",26
"[-0.05697096738869, -2.18423837324099, -0.97908211744629, -1.87217561516499, -1.26767887826769, -0.36383698783021, 0.01855308337613, 0.83136191178258, 0.50240667704477, 1.15400410999565, 1.00282654253338, 0.41318050885712, -0.08207741795744, -0.15668615432993, -0.10938530363668, -0.35454192743768, -0.51713994423742, 0.22964501722646]",40
"[-0.06995810853631, -0.11919053605474, -1.03279340567392, -0.14137953089896, 0.2611480089874, -0.10827769984161, -0.78615073329351, -0.6383259488331, -0.12314783410575, 0.28271376739512, 0.13127835959346, -0.01469665621862, -0.01648867081999, 0.20636606265924, 0.3060792437202, -0.17851352008864, -0.38562065172956, 0.21850054465869]",16
"[-0.26421753821113, -2.68760733358706, -1.22187610934534, -1.14332568698813, -1.13812580109896, -0.26247244686678, -0.99476810341827, 0.21331779533596, 0.96738956326104, 1.13451169104014, 1.13634271527579, 0.08255872372008, -0.02552358632349, 0.02852848900351, -0.09513470623962, -0.06647106773745, -0.09755084136766, 0.04120504184559]",36
"[0.3239880042488, -0.34577115034097, -0.00481896690932, -1.88850232345142, -0.40936372663536, -1.2576387296882, -0.97129171041626, -0.16497439962251, 0.34517871184058, 1.29147518873709, 1.07564589051009, 0.23403063778095, -0.05544826278517, -0.03593003123263, 0.05317214535766, -0.33275241307208, -0.50872718435646, 0.22767092058385]",48
"[-1.18279742842889, -2.42631448106362, -0.80410794304966, -1.72247271119558, -1.09195012903694, -0.33950302138341, -0.76443933583641, 0.2584797631804, 0.88071703078487, 1.27712618625384, 1.26082908005328, 0.07976778002893, -0.12318908722409, -0.19852723955542, -0.2586243713889, -0.3041377711177, -0.53314302399689, 0.2344422565975]",38
"[-1.16653591203656, -2.37109609144559, -1.21685657189729, -1.22669642279521, -1.34580977539032, -0.43236535779232, -0.90334591003982, 0.01221083551763, 0.57228383522988, 1.31147111885825, 1.19685350428064, 0.17608756442689, -0.06066809718694, -0.27905221582605, -0.24647556404225, -0.34010462809132, -0.42182330721006, 0.14601116293507]",40
"[0.17060003813192, -0.36009688041303, -0.18760774986056, -1.82819394145244, -1.21615989050558, -0.88619245569513, -0.78009841842168, 0.16041181854914, 0.74738999822444, 1.3170280124871, 1.2938967247894, 0.06956064248916, 0.04431947673724, 0.06113668805951, -0.04906820284643, -0.31466362977253, -0.51429714803235, 0.22761930796928]",48
"[0.13348961216582, 0.12676258789936, -0.008106657665, -0.05381976357417, -0.34833481170682, -0.68396720574326, 0.35811433117587, 0.90281057553092, 0.51408757775795, 0.60592332156212, 0.62005282893702, 0.16226681929116, -0.00716715084384, 0.07363767503314, 0.12640020790659, -0.2618805049706, -0.47028794050692, 0.21922012227722]",38
"[-1.8720647239228, -2.36326177639565, -0.77536970069384, -0.95494085266927, -0.59507930064907, -0.11990689316229, -0.84769646902717, 0.32475752978968, 0.85470433721188, 1.15925056234035, 1.28885809408832, -0.00052206624719, -0.125625695506, -0.17832774020949, 0.06125147510376, -0.17158573111184, -0.42495934913715, 0.12579761535851]",28
"[0.49300105924658, -0.3788397443353, -0.02638969726557, -1.75197421055709, -0.27844031455035, -1.26113563242107, -0.9395343672245, -0.01351572701348, 0.65424281667666, 1.32079266178531, 1.24157127679491, 0.10279979850846, -0.08352946191042, -0.28680317557408, -0.20469196762065, -0.36445404159603, -0.36485506254851, 0.09729695984524]",38
"[0.06405965882646, -0.32480421522877, -0.46322644862382, -1.41512865420906, -1.86206069308074, -0.5744057095048, -0.73418024708545, 0.35349790023766, 0.67064027671472, 0.90614985650915, 1.1222334300908, 0.03182723383691, 0.07360362822319, -0.10210838410748, -0.14551724836882, -0.32952994012865, -0.33398725674209, 0.05174952271008]",30
"[-0.86621083965659, -2.54981051011895, -1.29858314228358, -1.40107786291282, -1.0206295382218, -0.08622459522772, -0.79661947366798, 0.43287488772071, 1.03539180556531, 1.04598835305823, 1.15025972552889, 0.0450332449805, 0.14835805082052, -0.0577024266969, -0.41729000793356, -0.24744098938848, -0.28691260980597, 0.0309602840539]",36
"[-1.61090623767032, -2.62433861492295, -0.31167962885202, -1.19559361759453, -0.54516286169838, -0.1522253873402, -0.83604940192544, 0.30538184034494, 0.85945359763407, 1.19365513275002, 1.29180200941228, 0.01178127073259, -0.13514940508922, -0.11310214552037, -0.2150619753485, -0.25793083052895, -0.44401073158111, 0.11896348439835]",30
"[-0.22004922684186, -1.39424582230815, -0.84667103699092, -0.99263110453424, -2.04744252926966, -0.84199121663501, -0.80286273290549, 0.25711382782507, 0.85293517867377, 1.22691103007204, 1.28386804616841, 0.01029754110291, -0.11327923202344, -0.15862967940752, 0.00786220801718, -0.34952304030973, -0.50251881890867, 0.22779139571487]",28
"[0.32398743621711, -0.34577384983666, -0.0048224572571, -1.8885013505595, -0.40936162841489, -1.25763983274918, -0.97129049364215, -0.16497600806745, 0.3451783391906, 1.29147716482801, 1.07564573334284, 0.23403206471033, -0.05544736143648, -0.03592744219252, 0.05317517944933, -0.33275091605264, -0.50872870806718, 0.22767189002179]",48
"[-1.37913988456087, -2.79494283312198, -0.64990502664696, -0.18197304345231, 0.02454241209047, 0.02881753429693, -0.49600714875966, -0.39537018835847, 0.08541001873204, 0.85087447214986, 0.66418442374842, 0.00803446111903, 0.07128953833202, 0.11557735990469, 0.00053303974704, -0.26732424151952, -0.24247064906946, 0.37088723457687]",38
"[-0.35459216652522, -2.420790009937, -1.39695625372446, -1.56881233556508, -1.13009939957979, -0.04471881496857, -0.45505101118352, 0.64258558766534, 0.73054433141971, 1.15561892646891, 1.16725852088893, 0.25392650984223, -0.01879159174996, 0.08008464620208, -0.20579529543672, -0.22555474071155, -0.32694570935668, 0.22539243173882]",36
"[-1.10560810986978, -2.37214435626283, -1.27010394839872, -1.21834908873223, -1.29457253673093, -0.31788460311952, -0.70301033718685, 0.21475633048298, 0.80009512552197, 1.31832621787954, 1.30443799106841, 0.05191240189583, -0.08588225981275, -0.18140426132854, -0.25334354601917, -0.31228899146783, -0.51399259000705, 0.21820962520344]",36
"[-0.17809206299535, 0.19174608309616, -0.75650360342619, -0.23049832807818, -0.53766030814088, 0.18019298800147, 0.19654634468839, 0.24326904023034, -0.04827112798699, 0.28885710358745, 0.4311669944624, -0.05842004467619, -0.30444593203091, -0.36704362638245, 0.35547425303191, 0.02600996860408, -0.09912502435226, -0.07359149807963]",30
"[-1.16652921776039, -2.3711022050411, -1.21687058297875, -1.22668899295766, -1.34582191353779, -0.43235320055244, -0.90335586532318, 0.01220103674478, 0.57227695120847, 1.31147276055957, 1.19685350049987, 0.17608854491465, -0.06066864944189, -0.27905361217419, -0.24647457889446, -0.34010540859391, -0.42182185966284, 0.14600739039501]",40
"[-1.65329762116372, -2.05446040447014, -0.79155052898962, -1.27888649644181, -1.39519402189359, -0.50419096750758, -0.80882547545735, 0.30740000613188, 0.85190592609975, 1.19265105030574, 1.30964868858743, -0.01965763416327, -0.09600375371144, -0.07496602689452, -0.18461331297923, -0.32352720463396, -0.45392928948243, 0.180523730195]",22
"[0.2478271398552, -1.86258166187976, -1.66312200667685, -0.01394976603972, -0.85746711266997, -0.03871312194558, 0.19558540222741, 0.1618167222488, -0.03471970581124, 1.07173497938068, 1.05202687495464, -0.07030088124825, 0.01734929734203, -0.01417015835021, -0.0821072348389, -0.32805302082768, -0.53641256370057, 0.2278641560201]",56
"[-1.12182232390867, -2.37124836882501, -1.26749997257033, -1.18253938145083, -1.30274091490223, -0.35993353631901, -0.7362722799653, 0.27162362368053, 0.75853617632993, 1.3003492871463, 1.27597075846382, 0.12735726680093, 0.12526046639379, -0.22111125252862, -0.22495998499765, -0.46360646589074, -0.24636141893148, -0.02511160145915]",24
"[-0.17810892127764, 0.1917207192008, -0.75650941445991, -0.2305015388549, -0.53766266819409, 0.18020505923418, 0.1965392602099, 0.24327784337913, -0.04828483622798, 0.28885517454026, 0.43116796483718, -0.05839799749982, -0.30444789946891, -0.36703757439429, 0.35546870395168, 0.02601034846565, -0.09912360606561, -0.0735841406585]",30
"[-0.99113483543416, -2.50845963588046, -1.16005949397106, -1.48183592547565, -1.03667113094187, -0.14218702301078, -0.48238841141197, 0.65656651095895, 1.4010142632644, 0.81611366913584, 0.85273011376834, -0.04490902827842, 0.03844110911076, 0.01212520667651, -0.12267570042346, -0.12503264144463, -0.18105737319271, 0.03287794974882]",56
"[-1.01940132186147, -2.55716901150056, -0.91634982550197, -1.65645605797908, -0.97163184362498, -0.19155301088586, -0.7777718897583, 0.32773633804841, 0.66761858561981, 1.31681882747499, 1.25190692497625, 0.27825214077521, -0.17592076338648, -0.15187226523085, -0.26173315243653, -0.3327818864721, -0.5236827797487, 0.22677466281258]",34
"[-0.27600175261352, -2.68167696412089, -1.20188112054711, -1.16088586909163, -1.14907678766765, -0.2716470858267, -1.14716885743193, 0.037769037686, 0.8061219591761, 1.15244481376183, 1.12200214188081, 0.11038859142596, -0.06287310652971, -0.0484544202059, -0.19283303149894, -0.1926236048721, -0.282259660449, 0.12294161510449]",60
"[0.4930055531717, -0.37883167483557, -0.02638536521224, -1.75196828664479, -0.2784362840472, -1.26113456234234, -0.93952616482276, -0.01351637552221, 0.6542378404131, 1.32080128406258, 1.24156263881379, 0.10280346848637, -0.08352849841441, -0.28680112968507, -0.20469302971068, -0.36445178139191, -0.36485324458633, 0.09729046125886]",38
"[-0.26235880232948, -0.38200270781798, -1.14520164721427, -0.61324644526593, -0.06260812758728, -0.39055046200082, 0.15850996006423, -0.04299136557656, -0.20478398690892, -0.40056202629614, -0.45197185595953, -0.08119589596642, 0.08808931364804, 0.22517623860865, 0.05458048180335, -0.26354899096916, -0.38780420837033, 0.20130129695149]",18
"[0.1706057986158, -0.36008586008632, -0.18760456608785, -1.82819735404161, -1.21616729147894, -0.88619469460825, -0.78010059602745, 0.16041040827923, 0.74738848243701, 1.31703269511802, 1.29389873862117, 0.06956206446092, 0.04431936904944, 0.06113761268529, -0.04906632333975, -0.31466431087444, -0.51429814850171, 0.22761981931848]",48
"[-0.15701284662115, 0.22288601520962, -0.32417986341369, -1.01834768358474, 0.61751106457936, -0.38927735361022, -1.06579743668327, 0.26004024462333, 1.03182943508984, 1.02999471308204, 1.07465933888455, 0.09452455945451, 0.03543897927285, 0.00949358107643, -0.12132285129951, -0.3132920983061, -0.51500629242487, 0.22778054245378]",38
"[-1.23503594105992, -2.39436449415769, -0.83399834463006, -1.68812186188665, -1.11179840696701, -0.33060400872675, -0.93252720021095, 0.33164660360677, 0.92208542264977, 1.13795017340561, 1.22187229879895, 0.12227093981603, -0.11609567676329, -0.20023536152067, -0.26487326745817, -0.30262688011716, -0.53103767578653, 0.23390325770436]",36
"[-1.0604127031346, -0.77768995941319, 0.70376488304, -1.73590061757306, -1.13444017180297, -0.56885206249468, 0.32661417332589, 0.19660768317716, -0.1755121720242, 0.70688923040875, 0.81312230996565, -0.07605744936538, -0.12743092199553, -0.20709262788614, -0.13248025280035, -0.32943760410706, -0.49594010870746, 0.21754348701485]",40
"[-1.20952031100971, -2.34106628379052, -1.24992247138584, -0.90720132819049, -1.35122614410809, -0.51098198598159, -0.13016526753334, 0.16337699107291, 0.19589468983657, 1.48567209964268, 1.18413631238942, 0.15436891867258, -0.10444175000173, -0.02084278869307, -0.20474344603404, -0.35028475364426, -0.49881081038992, 0.21118364210401]",16
"[-1.20952382804961, -2.34107118083409, -1.24992462958236, -0.90720202851418, -1.35122773133289, -0.51098112056553, -0.13016419946854, 0.1633756026257, 0.19589277839227, 1.48567460909644, 1.18413783818997, 0.15436952562301, -0.10443999827416, -0.02084443594264, -0.20474481032899, -0.35028383444708, -0.49881131808338, 0.21118378897986]",16
"[0.38797159341739, -0.4412520687603, -0.01893266368279, -1.87441407048725, -0.37196996063634, -1.27437884793643, -0.65613002543831, 0.51378464827902, 1.28179419070481, 1.02528777442182, 1.06319374122413, -0.01647482749508, 0.00319636450536, -0.1283241938433, -0.18996713402841, -0.32869537467131, -0.51627969573982, 0.21224032813706]",50
"[0.53678106573769, -0.32951005601755, -0.02133168676114, -1.69565444206126, -0.26410894791148, -1.24116080472795, -0.91660543513547, 0.22824256669048, 0.87586685182013, 1.20125808434004, 1.22210838392251, 0.07736225509404, -0.11952343628678, -0.05227450462427, 0.07915610482517, -0.31306996579309, -0.47144583363721, 0.23140187226137]",44
"[-0.58390060640689, -1.97839840643362, -1.7798217288256, -0.68748937349362, -1.4646846016777, -0.24684354208722, -0.11161815341424, 0.79949072694682, 1.00595436746892, 0.44512853332625, 0.61224407182856, 0.04068156399439, -0.00180344532135, 0.0806906684257, 0.09517590884724, -0.31327528614068, -0.42907557017395, 0.25130565031973]",32
"[0.43646037740875, -0.36937918774137, -0.36080673063887, -1.73412693361146, -1.30276458795092, -0.49153083353387, -0.12755764686291, 0.49822630809336, 0.44475968501224, 1.30240923329839, 1.08724062270357, 0.21064710645035, 0.13176271472169, 0.01117275830867, -0.19231485779054, -0.38454397639965, -0.43317728195255, 0.12421618709456]",40
"[-0.26235461167029, -0.38201405151748, -1.14518718664284, -0.61323377343654, -0.06258924324572, -0.39054551987291, 0.15851937305624, -0.04299824794468, -0.20478794461258, -0.40057365801369, -0.45197858585892, -0.0812039909419, 0.08808937632923, 0.22517179989822, 0.05457570118653, -0.26354726690028, -0.38779963095932, 0.20130095812335]",18
